accession	domain	phylum	class	order	family	genus	species
GB_GCA_002686295.1	Archaea	Nanobdellota	Nanobdellia	Woesearchaeales	GCA-2686295	GCA-2686295	GCA-2686295 sp002686295
GB_GCA_036481835.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	CSP1-1	CSP1-1 sp036481835
GB_GCA_030017755.1	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeales	Bathycorpusculaceae	JASEJA01	JASEJA01 sp030017755
RS_GCF_024136965.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haladaptataceae	Haladaptatus	Haladaptatus sp024136965
GB_GCA_002495025.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Desulfurococcaceae	UBA285	UBA285 sp002495025
GB_GCA_005191415.1	Archaea	Asgardarchaeota	Lokiarchaeia	Helarchaeales	HEL-GB-A	HEL-GB-A	HEL-GB-A sp005191415
GB_GCA_005877305.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	TA-20	TA-20 sp005877305
RS_GCF_000970045.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	MTP4	MTP4 sp000970045
GB_GCA_012510295.1	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	Methanoculleus sp012510295
GB_GCA_030601675.1	Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	Hadarchaeaceae	DG-33	DG-33 sp030601675
GB_GCA_032127635.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus sp032127635
GB_GCA_021796295.1	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	CABMGC01	JAJYIA01	JAJYIA01 sp021796295
GB_GCA_030751995.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-P	MGIIb-P sp030751995
GB_GCA_027491395.1	Archaea	Korarchaeota	Korarchaeia	Korarchaeales	Korarchaeaceae	WALU01	WALU01 sp027491395
GB_GCA_025041175.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halocatena	Halocatena sp025041175
